Constituency,SN,Candidate,Party,Votes
Nagthan,11,BANDI SHRIKANT HANAMANTAPPA,Kalyana Rajya Pragathi Paksha,10770
Nagthan,12,ARUNA. G. KATAKADHOND,Independent,366
Nagthan,13,SHANKAR CHAVAN,Independent,617
Nagthan,14,SUNIL CHAVAN,Independent,487
Nagthan,15,SANJEEV PUNDALIK MANE,Independent,338
Nagthan,16,NOTA,None of the Above,1016
Indi,1,KASUGOUDA IRAPPAGOUDA BIRADAR,Bharatiya Janata Party,39862
Indi,2,GOPAL.R. PATIL,Aam Aadmi Party,3353
Indi,3,NAGESH SHIVASHARAN,Bahujan Samaj Party,738
Indi,4,B. D. PATIL (HANJAGI),Janata Dal (Secular),61456
Indi,5,YASHAVANTARAYGOUD. VITTALAGOUD. PATIL,Indian National Congress,71785
Indi,6,ASHOK JADHAV,Karnataka Rashtra Samithi,915
Indi,7,KAVITA. SHREE. KATAKADHOND,Rani Chennamma Party,572
Indi,8,M. M. BAGAWAN,Independent,922
Indi,9,GOLLALANINGANAGOUDA. JYOTIGOND,Independent,370
Indi,10,NOTA,None of the Above,886
Sindgi,1,ASHOK MALLAPPA MANAGULI,Indian National Congress,87621
Sindgi,2,DR|| DASTAGEER. MULLA,Bahujan Samaj Party,813
Sindgi,3,BHUSANUR RAMESH BALAPPA,Bharatiya Janata Party,79813
Sindgi,4,MURIGEPPAGOUDA S RADDEWADAGI,Aam Aadmi Party,851
Sindgi,5,VISHALAKSHI SHIVANAND PATIL,Janata Dal (Secular),2283
Sindgi,6,PUNDALIK BIRADAR,Karnataka Rashtra Samithi,234
Sindgi,7,JILANI. GUDUSAB. MULLA.,Independent,170
Sindgi,8,DEEPIKA S,Independent,376
Sindgi,9,MOHAMMAD MUSHTAQ AMEENUDDIN NAIKODI,Independent,275
Sindgi,10,NOTA,None of the Above,963
Afzalpur,1,M.Y.PATIL,Indian National Congress,56313
Afzalpur,2,MALIKAYYA. V. GUTTEDAR.,Bharatiya Janata Party,31394
Afzalpur,3,SHIVAKUMAR M NATIKAR,Janata Dal (Secular),8153
Afzalpur,4,SHIVARAJ PATIL KULALI,Aam Aadmi Party,626
Afzalpur,5,HUCCHESHWAR WATHAR GOUR,Bahujan Samaj Party,441
Afzalpur,6,K.G.POOJARI,Karnataka Rashtra Samithi,354
Afzalpur,7,R.D.PATIL.,Samajwadi Party,8686
Afzalpur,8,RAMESH JAMADAR,Rashtriya Samaj Paksha,431
Afzalpur,9,SHAMARAY. BAKSAR HOSAMANI,Republican Party of India (A),597
Afzalpur,10,NITIN VENKAYYA GUTTEDAR,Independent,51719
Afzalpur,11,NOTA,None of the Above,1608
Jewargi,1,AJAY SINGH,Indian National Congress,70810
Jewargi,2,DODDAPPAGOUDA,Janata Dal (Secular),60532
Jewargi,3,BHEEMARAYA,Bahujan Samaj Party,676
Jewargi,4,VISHWANATH REDDY,Aam Aadmi Party,1167
Jewargi,5,SHIVARAJ,Bharatiya Janata Party,29564
Jewargi,6,ASHOK,Kalyana Rajya Pragathi Paksha,405
Jewargi,7,CHANDRAKANTH,Indian Movement Party,77
Jewargi,8,BASAVARAJ,Karnataka Rashtra Samithi,131
Jewargi,9,MAHESHKUMAR,Communist Party of India,542
Jewargi,10,SHIVLINGAPPA KINNUR,Rashtriya Samaj Paksha,197
Jewargi,11,TIPPANNA,Independent,139
Jewargi,12,NABISAB,Independent,199
Jewargi,13,MALLIKARJUN,Independent,369
Jewargi,14,VAKIL PATEL,Independent,326
Jewargi,15,VIJAYKUMAR,Independent,1124
Jewargi,16,NOTA,None of the Above,1146
Shorapur,1,NARASIMHANAYAK (RAJUGOUDA),Bharatiya Janata Party,88336
Shorapur,2,R. MANJUNATH NAYAK,Aam Aadmi Party,1348
Shorapur,3,RAJA VENKATAPPA NAIK,Indian National Congress,113559
Shorapur,4,SHRAVANAKUMAR NAYAK,Janata Dal (Secular),1544
Shorapur,5,ASHOK LAXMAN,Independent,349
Shorapur,6,VENKATAPPA NAYAK CHANDRASHEKHAR NAYAK,Independent,765
Shorapur,7,SHASHIKUMAR,Independent,370
Shorapur,8,NOTA,None of the Above,1259
Shahapur,1,AMEENRADDI YALAGI,Bharatiya Janata Party,52326
Shahapur,2,GURU PATIL SHIRWAL,Janata Dal (Secular),30396
Shahapur,3,CHANDRASHEKHAR SABAYYA,Aam Aadmi Party,1320
Shahapur,4,SHARANABASAPPA DARSHANAPUR,Indian National Congress,78353
Shahapur,5,PRAKASH B. KULKARNI,Karnataka Rashtra Samithi,888
Shahapur,6,VISHWARADHYA B. MUDABOOL,Swayam Krushi Party,740
Shahapur,7,MAHAMMED JILANI BANDAGISAB NASHI,Independent,473
Shahapur,8,HAJI M HUSSAIN,Independent,312
Shahapur,9,HONNAYYA HOTPETH,Independent,654
Shahapur,10,NOTA,None of the Above,1252
Yadgir,1,CHANNAREDDY PATIL TUNNUR,Indian National Congress,53802
Yadgir,2,BASAVARAJ. M. RAMASAMUDRA,Bahujan Samaj Party,694
Yadgir,3,DR. A.B. MALAKAREDDY,Janata Dal (Secular),7420
Yadgir,4,VENKATREDDY MUDNAL,Bharatiya Janata Party,50129
Yadgir,5,MARUTIRAO JAMBAGA,Dr. Ambedkar People's Party,502
Yadgir,6,RAMZANBEE SOFISAB,All India Ulama Congress,564
Yadgir,7,SHARANABASAPPA KAMALAPURU,Karnataka Rashtra Samithi,199
Yadgir,8,K.SOMASHEKHAR,Socialist Unity Centre Of India (COMMUNIST),466
Yadgir,9,NAZREEN KOUSER,Independent,226
Yadgir,10,BHIMANNA GURUBASAYYA,Independent,252
Yadgir,11,MARAGAPPA SALIKERI,Independent,245
Yadgir,12,MAHANTESH PARASHURAM BHOVI,Independent,336
Yadgir,13,YANKAPPA DEVINDRAPPA BANGLI,Independent,853
Yadgir,14,VENKATAREDDY,Independent,867
Yadgir,15,HANAMAGOUDA BEERANKAL,Independent,36838
Yadgir,16,NOTA,None of the Above,1609
Gurmitkal,1,BABURAO CHINCHANSOOR,Indian National Congress,69718
Gurmitkal,2,ANPUR LALITA MOULALI,Bharatiya Janata Party,14571
Gurmitkal,3,K.B. VASU,Bahujan Samaj Party,2590
Gurmitkal,4,SHARANA GOWDA KANDAKUR,Janata Dal (Secular),72297
Gurmitkal,5,S. NIJALINGAPPA DODDASAMBRA,Karnataka Rashtra Samithi,1070
Gurmitkal,6,MALLIKARJUN,Uttama Prajaakeeya Party,668
Gurmitkal,7,NOTA,None of the Above,1416
Chittapur,1,JAGADISH S SAGAR,Aam Aadmi Party,962
Chittapur,2,PRIYANK KHARGE,Indian National Congress,81323
Chittapur,3,MANIKANTA RATHOD,Bharatiya Janata Party,67683
Chittapur,4,SHARANU P. SUGUR,Bahujan Samaj Party,878
Chittapur,5,DR. SUBHASCHANDRA RATHOD,Janata Dal (Secular),643
Chittapur,6,MALLIKARJUN S. H PUJARI,Karnataka Rashtra Samithi,485
Chittapur,7,RAJU HADNOOR,Independent,405
Chittapur,8,NOTA,None of the Above,816
Sedam,1,KHASIM SAB,Bahujan Samaj Party,647
Sedam,2,BALRAJ GUTTEDAR,Janata Dal (Secular),21125
Sedam,3,RAJKUMAR PATIL TELKUR,Bharatiya Janata Party,49816
Sedam,4,DR. SHARANPRAKASH RUDRAPPA PATIL,Indian National Congress,93377
Sedam,5,SHANKAR BANDI SULEPETH,Aam Aadmi Party,1441
Sedam,6,G. LALLESH REDDY,Kalyana Rajya Pragathi Paksha,6712
Sedam,7,SHIVAKUMAR KODLI,Karnataka Rashtra Samithi,219
Sedam,8,SRINIVAS BOINI,Jana Spandana Party,198
Sedam,9,ASHOK KUMAR NAGINDRAPPA SHILAVANTH,Independent,316
Sedam,10,DEVINDRA HANAMANTH HADAPAD GARUR,Independent,645
Sedam,11,BHARATH KUMAR G,Independent,513
Sedam,12,SURESH,Independent,297
Sedam,13,NOTA,None of the Above,691
Chincholi,1,AVINASH UMESH JADHAV,Bharatiya Janata Party,69963
Chincholi,2,GOUTAM,Bahujan Samaj Party,1078
Chincholi,3,GOUTAM,Aam Aadmi Party,482
Chincholi,4,SANJEEVAN YAKAPUR,Janata Dal (Secular),6555
Chincholi,5,SUBHASH V RATHOD,Indian National Congress,69105
Chincholi,6,RAMESH,Karnataka Rashtra Samithi,543
Chincholi,7,AVINASH,Independent,393
Chincholi,8,SHAMRAO,Independent,390
Chincholi,9,SANTOSH,Independent,202
Chincholi,10,SUBHASHCHANDRA,Independent,226
Chincholi,11,NOTA,None of the Above,1003
Gulbarga Rural,1,PANDURANG MAVINKAR,Communist Party of India (Marxist),822
Gulbarga Rural,2,BASAWARAJ MATTIMUDU,Bharatiya Janata Party,84466
Gulbarga Rural,3,MAILARI S/O YESHAWANTH SHALLAGI,Bahujan Samaj Party,835
Gulbarga Rural,4,RAGHAVENDRA CHINCHANSOOR,Aam Aadmi Party,630
Gulbarga Rural,5,REVU NAIK BELAMAGI,Indian National Congress,71839
Gulbarga Rural,6,GANAPATH RAO K MANE,Socialist Unity Centre Of India (COMMUNIST),881
Gulbarga Rural,7,VENKATESH MAHARAJ,Karnataka Rashtra Samithi,138
Gulbarga Rural,8,HANMANTH,Rashtriya Samaj Paksha,206
Gulbarga Rural,9,DATTATREY K KAMALAPURKAR,Independent,422
Gulbarga Rural,10,BHAGWAN EDURAM BHOVI,Independent,174
Gulbarga Rural,11,RAMESH S/O BHIMSINGH CHAVAN,Independent,289
Gulbarga Rural,12,SATISH B SHINDE,Independent,578
Gulbarga Rural,13,NOTA,None of the Above,839
Gulbarga Dakshin,1,ALLAMPRABHU PATIL,Indian National Congress,87345
Gulbarga Dakshin,2,KRISHNA REDDY,Janata Dal (Secular),1409
Gulbarga Dakshin,3,DATTATREYA.C. PATIL REVOOR APPUGOUDA,Bharatiya Janata Party,66297
Gulbarga Dakshin,4,L.R. BHOSLE,Bahujan Samaj Party,464
Gulbarga Dakshin,5,SIDDHU. PATIL (TEGNOOR),Aam Aadmi Party,245
Gulbarga Dakshin,6,MOHD. ASLAM MANIYAR,Indian Movement Party,74
Gulbarga Dakshin,7,MAHESH S.B.,Socialist Unity Centre Of India (COMMUNIST),98
Gulbarga Dakshin,8,VIJAY JADHAV,Karnataka Rashtra Samithi,58
Gulbarga Dakshin,9,NAGAYYA GUTTEDAR. G. TAILOR,Independent,90
Gulbarga Dakshin,10,M D MAQBOOL KHAN,Independent,73
Gulbarga Dakshin,11,MOHAMMED HUSSAIN (MOHAMMED),Independent,65
Gulbarga Dakshin,12,SHARANABASAPPA. PAPPA.,Independent,1050
Gulbarga Dakshin,13,SHASHIDHAR. B.K. NAGANAHALLI,Independent,497
Gulbarga Dakshin,14,SUDHAKAR,Independent,518
Gulbarga Dakshin,15,NOTA,None of the Above,1284
Gulbarga Uttar,1,KANEEZ FATIMA,Indian National Congress,80973
Gulbarga Uttar,2,CHANDRAKANT B. PATIL (CHANDU PATIL),Bharatiya Janata Party,78261
Gulbarga Uttar,3,NASIR HUSSAIN USTAD,Janata Dal (Secular),17114
Gulbarga Uttar,4,MD. MAHMOOD SHAH,Bahujan Samaj Party,204
Gulbarga Uttar,5,INAMDAR SAJJAD ALI,Aam Aadmi Party,427
Gulbarga Uttar,6,ABDUL HAMEED DABUR,Akhil Bharatiya Muslim League (Secular),70
Gulbarga Uttar,7,BHOVI TARABAI,Bhartiya Jan Samrat Party,65
Gulbarga Uttar,8,MOHAMMED. ASHRAF,All India Majlis-E-Inquilab-E-Millat,45
Gulbarga Uttar,9,A.S. SHARANABASAPPA (SHARAN. IT),Janata Dal (United),87
Gulbarga Uttar,10,ABDUL RAHEEM MIRCHI SAIT,Independent,90
Gulbarga Uttar,11,ABDUL HAMEED BAGBAN,Independent,174
Gulbarga Uttar,12,MUJAHID MAZHARI,Independent,401
Gulbarga Uttar,13,NOTA,None of the Above,934
Aland,1,Bhojaraj,Indian National Congress,89508
Aland,2,Maheshwari,Janata Dal (Secular),1419
Aland,3,Rajkumar,Bahujan Samaj Party,296
Aland,4,Shivakumar Khed,Aam Aadmi Party,455
Aland,5,Subhash Guttedar,Bharatiya Janata Party,79160
Aland,6,Umar Farooq,Karnataka Janaseve Party,439
Aland,7,Chowhan Raju,BhartiyaBahujanKranti Dal,108
Aland,8,Dattappa,Rashtriya Samaj Paksha,75
Aland,9,Moula Sab,Communist Party of India,811
Aland,10,Apparao Patil,Independent,477
Aland,11,Pandit,Independent,146
Aland,12,Mahiboob Basha,Independent,178
Aland,13,Ratnappa,Independent,200
Aland,14,NOTA,None of the Above,1316
Basavakalyan,1,DEEPAK MALGAR,Aam Aadmi Party,745
Basavakalyan,2,VIJAY SINGH,Indian National Congress,78505
Basavakalyan,3,SHARANU SALAGAR,Bharatiya Janata Party,92920
Basavakalyan,4,SANJUKUMAR WADEKAR,Janata Dal (Secular),1526
Basavakalyan,5,DNYANESHWAR SINGARE,Bahujan Samaj Party,215
Basavakalyan,6,RAJESHWARI VARDHAN,Republican Party of India,157
Basavakalyan,7,SHIVAJI SIRAGAPUR,Uttama Prajaakeeya Party,145
Basavakalyan,8,SHWEETA AARATI,Republican Party of India (A),226
Basavakalyan,9,TATERAO APPARAO PATIL,Independent,605
Basavakalyan,10,VEERA REDDY BASA REDDY PATIL,Independent,445
Basavakalyan,11,NOTA,None of the Above,502
Homnabad,1,C.M FAIZ,Janata Dal (Secular),25900
Homnabad,2,BANK REDDY,Aam Aadmi Party,1413
Homnabad,3,RAJASHEKHAR BASAVARAJ PATIL,Indian National Congress,73921
Homnabad,4,SIDDU PATIL,Bharatiya Janata Party,75515
Homnabad,5,NAGANATH MARUTI,Indian Movement Party,749
Homnabad,6,MOHAMMED ABRAR AHMED,All India Majlis-E-Inquilab-E-Millat,356
Homnabad,7,PARAVEJ PATIL,Independent,224
Homnabad,8,NOTA,None of the Above,729
Bidar South,1,ASHOK KHENY,Indian National Congress,48609
Bidar South,2,KAPIL GODBOLE,Bahujan Samaj Party,645
Bidar South,3,M.NASEEMUDDIN PATEL,Aam Aadmi Party,5104
Bidar South,4,BANDEPPA KHASHEMPUR,Janata Dal (Secular),31374
Bidar South,5,DR. SHAILENDRA BELDALE,Bharatiya Janata Party,49872
Bidar South,6,TUKARAM GOURE,Karnataka Rashtra Samithi,779
Bidar South,7,BHEEMA SHANKAR POLICE PATIL,Kalyana Rajya Pragathi Paksha,500
Bidar South,8,SHIVRAJ BABU,Rashtriya Samaj Paksha,529
Bidar South,9,CHANDRA SINGH,Independent,14837
Bidar South,10,SHIVAKUMAR PATIL,Independent,464
Bidar South,11,NOTA,None of the Above,671
Bidar,1,ANILKUMAR TUKARAM KHASHAMPURE,Bahujan Samaj Party,408
Bidar,2,ISHWAR SINGH THAKUR,Bharatiya Janata Party,17779
Bidar,3,Gulam Ali,Aam Aadmi Party,2032
Bidar,4,Rahim Khan,Indian National Congress,69165
Bidar,5,SURYAKANTH NAGAMARPALLI,Janata Dal (Secular),58385
Bidar,6,"ASHOK KARANJI, GADGI",Sarvajanika Adarsha Sena,481
Bidar,7,MAHESH GORNALKAR,Republican Party of India (A),287
Bidar,8,Hanamanth Matte,Karnataka Rashtra Samithi,366
Bidar,9,Gundoji,Independent,240
Bidar,10,SHASHIKUMAR S POLICE PATIL CHAWLI,Independent,469
Bidar,11,GNANESHWAR JAISURYA HOSAMANI,Independent,122
Bidar,12,NOTA,None of the Above,543
Bhalki,1,ESHWAR KHANDRE,Indian National Congress,99451
Bhalki,2,TUKARAM HAJARE S/O NARAYANRAO,Aam Aadmi Party,949
Bhalki,3,PRAKASH KHANDRE,Bharatiya Janata Party,71745
Bhalki,4,ROUF PATEL,Janata Dal (Secular),636
Bhalki,5,SIDRAM VAIJINATH,Karnataka Rashtra Samithi,59
Bhalki,6,ABDUL JAMEEL INAMDAR,Independent,40
Bhalki,7,AMBADAS . J . SALANKE,Independent,62
Bhalki,8,UMESH GUNDERAO PANDRE,Independent,47
Bhalki,9,GANESH S/O GOVIND,Independent,45
Bhalki,10,PANDURANG SHARNAPPA,Independent,75
Bhalki,11,B. A. BOROLE,Independent,202
Bhalki,12,VAIJINATH S/O BAJIRAO TAGARE,Independent,376
Bhalki,13,S. VAIJAYNATH. G.,Independent,240
Bhalki,14,NOTA,None of the Above,851
Aurad,1,GUNWANTRAO S/. SANGRAM,Bahujan Samaj Party,362
Aurad,2,JAISINGA S/. DHANASHING,Janata Dal (Secular),1506
Aurad,3,PRABHU B CHAVAN,Bharatiya Janata Party,81382
Aurad,4,BABURAO ADAKE,Aam Aadmi Party,945
Aurad,5,BHIMSAIN RAO SHINDE,Indian National Congress,71813
Aurad,6,ANIL RATHOD S/. BHAVRAO RATHOD,Rashtriya Maratha Party,637
Aurad,7,K.R.S. ANKUSH,Karnataka Rashtra Samithi,130
Aurad,8,NARSING TUKARAM,Janahitha Paksha,136
Aurad,9,RAHUL S/. BABURAO,Samajwadi Janata Party(Karnataka),266
Aurad,10,DR LAXMAN SORHALLI,Kalyana Rajya Pragathi Paksha,270
Aurad,11,DR. M.P. DARAKESWARAIAH,Independent,361
Aurad,12,SANTOSHKUMAR,Independent,331
Aurad,13,NOTA,None of the Above,464
Raichur Rural,1,Tipparaju Hawaldar,Bharatiya Janata Party,75283
Raichur Rural,2,K. Narasimha Nayak,Janata Dal (Secular),4127
Raichur Rural,3,Basanagouda Daddal,Indian National Congress,89140
Raichur Rural,4,Shubhashchandra Sambaji,Aam Aadmi Party,1535
Raichur Rural,5,I. Kumar Nayak,Karnataka Rashtra Samithi,275
Raichur Rural,6,M Khashim Nayak,Kalyana Rajya Pragathi Paksha,428
Raichur Rural,7,Veerangoda,Indian Movement Party,760
Raichur Rural,8,Badesaab,Independent,357
Raichur Rural,9,NOTA,None of the Above,1456
Raichur,1,Jayabheema,Bahujan Samaj Party,583
Raichur,2,Mohammed Shalam,Indian National Congress,65923
Raichur,3,E. Vinay kumar,Janata Dal (Secular),2780
Raichur,4,Veeresh Kumar.D,Aam Aadmi Party,581
Raichur,5,Dr. Shivaraj Patil,Bharatiya Janata Party,69655
Raichur,6,Masood Ali,Bharatiya Rashtravadi Paksha,336
Raichur,7,Mahadeva,Country Citizen Party,116
Raichur,8,Ramanna,Karnataka Rashtra Samithi,109
Raichur,9,Raman Gowda Yeganuru,Kalyana Rajya Pragathi Paksha,587
Raichur,10,Veeresh N.S,Socialist Unity Centre Of India (COMMUNIST),165
Raichur,11,Syed Ishaq Hussain,Social Democratic Party Of India,632
Raichur,12,Iffath Siddiqui,Independent,387
Raichur,13,Indramma,Independent,119
Raichur,14,Eresh,Independent,181
Raichur,15,Earesh Kumar,Independent,334
Raichur,16,Dr. Basavaraj Kalasa,Independent,549
Raichur,17,Mujeebuddin,Independent,1327
Raichur,18,Syed Rasheed Pasha,Independent,291
Raichur,19,NOTA,None of the Above,588
Manvi,1,A Bhagavantaray,Bharatiya Janata Party,59203
Manvi,2,Mudakappa Nayak,Bahujan Samaj Party,686
Manvi,3,Raja Venkatappa Nayak,Janata Dal (Secular),25990
Manvi,4,Raja Shamsunder Nayak,Aam Aadmi Party,2932
Manvi,5,G Hampayya Nayak,Indian National Congress,66922
Manvi,6,Basavaprabhu,Karnataka Rashtra Samithi,742
Manvi,7,NOTA,None of the Above,1255
Devadurga,1,Karemma,Janata Dal (Secular),99544
Devadurga,2,Narasannagouda Hosamani,Bahujan Samaj Party,1130
Devadurga,3,Shivanagouda,Bharatiya Janata Party,65288
Devadurga,4,A.Shridevi,Indian National Congress,3909
Devadurga,5,Roopa,Independent,2784
Devadurga,6,NOTA,None of the Above,2751
Lingsugur,1,ANILKUMAR D.JANAPPA HIRENAGANOOR,Bahujan Samaj Party,1193
Lingsugur,2,D.S.HULAGERI,Indian National Congress,55960
Lingsugur,3,MANAPPA D VAJJAL,Bharatiya Janata Party,58769
Lingsugur,4,BANDI SHIDDU,Janata Dal (Secular),41322
Lingsugur,5,NAGARAJ MOTHI,Uttama Prajaakeeya Party,1152
Lingsugur,6,R.RUDRAIAH,Kalyana Rajya Pragathi Paksha,13764
Lingsugur,7,VIJAY KUMAR POL,Karnataka Rashtra Samithi,753
Lingsugur,8,NOTA,None of the Above,1325
Sindhanur,1,K. KARIYAPPA,Bharatiya Janata Party,51703
Sindhanur,2,VENKATRAO NADAGOUDA,Janata Dal (Secular),43461
Sindhanur,3,SANGRAM NARAYAN KILLED,Aam Aadmi Party,1388
Sindhanur,4,HAMPANAGOUDA BADARLI,Indian National Congress,73645
Sindhanur,5,NIJAGUNAYYA,Uttama Prajaakeeya Party,853
Sindhanur,6,NIRUPADI K GOMARSHI,Karnataka Rashtra Samithi,270
Sindhanur,7,BASAVARAJ SASALAMARI,Republican Party of India Bharatha,236
Sindhanur,8,MALLIKARJUN NEKKANTI,Kalyana Rajya Pragathi Paksha,2147
Sindhanur,9,BASAVARAJ BADARLI,Independent,215
Sindhanur,10,BASAPUR SHARANAPPA NEELAKANTAPPA,Independent,448
Sindhanur,11,NOTA,None of the Above,1065
Maski,1,PRATAPGOUDA PATIL,Bharatiya Janata Party,66513
Maski,2,BASAN GOUDA TURVIHAL,Indian National Congress,79566
Maski,3,RAGHAVENDRA NAYAK BALGANUR,Janata Dal (Secular),1906
Maski,4,GANGAMMA ANKUSHADODDI,Karnataka Rashtra Samithi,313
Maski,5,ISHAPPAGOUDA PATIL,Independent,268
Maski,6,SOMANAGOUDA,Independent,207
Maski,7,E.H. NAYAK,Independent,730
Maski,8,NOTA,None of the Above,1295
Kushtagi,1,AMAREGOUDA LINGANAGOUDA PATIL BAYYAPUR,Indian National Congress,83269
Kushtagi,2,KANAKAPPA MALAGAVI,Aam Aadmi Party,729
Kushtagi,3,DODDANAGOUDA HANAMAGOUDA PATIL,Bharatiya Janata Party,92915
Kushtagi,4,SHARANAPPA SIDDAPPA KUMBAR,Janata Dal (Secular),1048
Kushtagi,5,SHIVAPUTRAPPA MENEDAL,Bahujan Samaj Party,203
Kushtagi,6,C.M.HIREMATH,Kalyana Rajya Pragathi Paksha,380
Kushtagi,7,PARASAPPA BHEEMAPPA GAJJARI,Rani Chennamma Party,44
Kushtagi,8,SHANTARAJA PARSHWANATH GOGI JAIN,Navarang Congress Party,65
Kushtagi,9,SIDDAPPA KALAKERI,Uttama Prajaakeeya Party,272
Kushtagi,10,C.SURESH BALAKUNDI,Karnataka Rashtra Samithi,95
Kushtagi,11,KALAPPA YACHCHARAPPA BADIGER,Independent,179
Kushtagi,12,YALLANAGOUDA,Independent,177
Kushtagi,13,RAMANAGOUDA.M.MALIPATIL,Independent,346
Kushtagi,14,B.VAZEERALI GONAL,Independent,1377
Kushtagi,15,SHIVAKUMAR CHILKARAGI,Independent,391
Kushtagi,16,NOTA,None of the Above,1592
Kanakagiri,1,BASAVARAJ DADESUGUR,Bharatiya Janata Party,63532
Kanakagiri,2,YARISWAMY NAGESHAPPA KUNTOJI,Aam Aadmi Party,515
Kanakagiri,3,P V RAJAGOPAL,Janata Dal (Secular),709
Kanakagiri,4,TANGADAGI SHIVARAJ SANGAPPA,Indian National Congress,106164
Kanakagiri,5,KENCHAPPA LINGAPPA HIREKHED,Communist Party of India (Marxist-Leninist) (Liberation),747
Kanakagiri,6,GANESH,Karnataka Rashtra Samithi,144
Kanakagiri,7,CHARUL VENKANTRAMANA DASARI,Kalyana Rajya Pragathi Paksha,1319
Kanakagiri,8,K BALAPPA,Bharatiya Praja Aikyata Party,136
Kanakagiri,9,RAMESH,Independent,422
Kanakagiri,10,SANDEEP SANJEEVAPPA BUDAGUMPA,Independent,678
Kanakagiri,11,H HULUGAPPA,Independent,191
Kanakagiri,12,B JNANASUNDAR,Independent,396
Kanakagiri,13,NOTA,None of the Above,1600
Gangawati,1,IQBAL ANSARI,Indian National Congress,57947
Gangawati,2,CHANNAKESHAVE HERIYAAL RAMULU,Janata Dal (Secular),1212
Gangawati,3,PARANNA ISHWARAPPA MUNAVALLI,Bharatiya Janata Party,29167
Gangawati,4,SHARANAPPA SAJJIHOLA,Aam Aadmi Party,415
Gangawati,5,SHANKAR SIDDAPUR,Bahujan Samaj Party,190
Gangawati,6,KANAKAPPA HANUMAPPA HUDEJALI,Karnataka Rashtra Samithi,391
Gangawati,7,G JANARDHAN REDDY,Kalyana Rajya Pragathi Paksha,66213
Gangawati,8,KARADI BASAVARAJA,Indian Movement Party,477
Gangawati,9,VIJAY KUMAR ACHAPPA,Akhil Bharat Hindu Mahasabha,177
Gangawati,10,VENKATESH RAO G KULKARNI HEGGAPUR,Bharatiya Prajagala Kalyana Paksha,356
Gangawati,11,SHARANAPPA SINGANAL,Uttama Prajaakeeya Party,371
Gangawati,12,SHRI VENKATESHWARA MAHA SWAMIJI,Hindustan Janta Party,87
Gangawati,13,SARASWATI K,Republican Party of India Bharatha,222
Gangawati,14,CHAKRAVARTHI NAYAKA T,Independent,273
Gangawati,15,MAHAMMAD NATHIK ALAM,Independent,156
Gangawati,16,PRASAD TALURI,Independent,792
Gangawati,17,SHIVASHANKARYYA SWAMI SHETTAR‌ KARATAGI,Independent,522
Gangawati,18,SHANMUKHA VALMIKI,Independent,93
Gangawati,19,SANGAMESH SUGREEVAA,Independent,372
Gangawati,20,NOTA,None of the Above,426
Yelburga,1,BASAVARAJ RAYAREDDI,Indian National Congress,94330
Yelburga,2,KONANAGOUDRA MALLANAGOUDA,Janata Dal (Secular),1038
Yelburga,3,MOULAHUSAIN BULDIYAR,Aam Aadmi Party,425
Yelburga,4,ACHAR HALAPPA BASAPPA,Bharatiya Janata Party,77149
Yelburga,5,HULAGAPPA HIREMANI,Bahujan Samaj Party,524
Yelburga,6,RAMALINGAPPA H. KUKANURU,Republican Party of India,130
Yelburga,7,HARI. R,Nationalist Congress Party,626
Yelburga,8,NIRMALA,Independent,216
Yelburga,9,BALAPPA S. VEERAPUR,Independent,502
Yelburga,10,SHAMIDSAB YAMANURSAB MULLA,Independent,258
Yelburga,11,SHANKAR RADDY SOMARADDY,Independent,235
Yelburga,12,NOTA,None of the Above,1565
Koppal,1,C.V.CHANDRASHEKAR,Janata Dal (Secular),45369
Koppal,2,K.S.MAILARAPPA,Bahujan Samaj Party,494
Koppal,3,M.K. SAHEB NAGESHANAHALLI,Aam Aadmi Party,905
Koppal,4,KARADI MANJULA,Bharatiya Janata Party,54170
Koppal,5,K. RAGHAVENDRA BASAVARAJ HITNAL,Indian National Congress,90430
Koppal,6,ADAVI HANUMAPPA GODACHALLI,Karnataka Rashtra Samithi,651
Koppal,7,MARISWAMI. R. KANAKAGIRI,Republican Party of India Bharatha,149
Koppal,8,GAVEESH SASIMATH,Independent,192
Koppal,9,KOLURU DEVENDRAGOUDA,Independent,340
Koppal,10,PRAMOD.M.P,Independent,299
Koppal,11,MALLIKARJUN HADAPADA,Independent,173
Koppal,12,SHASHIDHAR.K.M,Independent,260
Koppal,13,NOTA,None of the Above,1317
Shirahatti,1,DR.CHANDRU LAMANI,Bharatiya Janata Party,74489
Shirahatti,2,DODDAMANI MALLIKARJUNA YALLAPPA,Aam Aadmi Party,872
Shirahatti,3,SUJATA NINGAPPA DODDAMANI,Indian National Congress,34791
Shirahatti,4,HANAMANTAPPA. M.NAYAK,Janata Dal (Secular),2065
Shirahatti,5,DR. MUTTU. SURAKOD (MADAR),Indian Movement Party,312
Shirahatti,6,MANJUNATH ASANGEPPA ASANGI,Karnataka Rashtra Samithi,228
Shirahatti,7,SUSHMA SUNIL SARVADE,Uttama Prajaakeeya Party,472
Shirahatti,8,DURAGAPPA SHEKHAPPA BINJADAGI,Independent,228
Shirahatti,9,DODDAPPA. BHADRAPPA. LAMANI,Independent,965
Shirahatti,10,RAJAVENKATESH D KARABHARI,Independent,502
Shirahatti,11,RAMAKRISHNA. SHIDLINGAPPA. DODDAMANI,Independent,45969
Shirahatti,12,VENKATESH B GUGGARI,Independent,536
